IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,Typology
045542,Newcomerstown Exempted Village,Tuscarawas," $10,083,217 "," $1,231,565 ",12.21%," $9,990,399 "," $741,928 ",7.43%," $10,470,942 "," $556,348 ",5.31%,"$10,579,812","$710,204",6.7%,"$10,653,626","$1,814,773",17.0%,9.7%,1
045559,New Richmond Exempted Village,Clermont," $28,090,257 "," $19,669,531 ",70.02%," $29,128,028 "," $21,325,877 ",73.21%," $30,571,945 "," $21,929,128 ",71.73%,"$30,625,417","$22,721,308",74.2%,"$27,452,167","$24,295,207",88.5%,75.5%,3
045567,Newton Falls Exempted Village,Trumbull," $11,807,387 "," $925,800 ",7.84%," $11,945,813 "," $500,002 ",4.19%," $11,510,357 "," $210,364 ",1.83%,"$11,281,606","$153,758",1.4%,"$11,412,142","$496,766",4.4%,3.9%,1
045575,Paulding Exempted Village,Paulding," $14,449,083 "," $5,032,144 ",34.83%," $14,663,269 "," $5,449,399 ",37.16%," $15,106,875 "," $6,316,895 ",41.81%,"$16,057,760","$6,861,965",42.7%,"$16,210,864","$7,312,905",45.1%,40.3%,1
045583,Perrysburg Exempted Village,Wood," $39,362,173 "," $1,079,679 ",2.74%," $39,650,587 "," $2,473,228 ",6.24%," $43,650,832 "," $3,780,713 ",8.66%,"$46,180,247","$5,245,545",11.4%,"$47,227,633","$7,382,868",15.6%,8.9%,6
045591,Rittman Exempted Village,Wayne," $10,211,312 "," $2,300,095 ",22.52%," $10,569,997 "," $1,271,250 ",12.03%," $9,736,678 "," $1,489,119 ",15.29%,"$10,862,605","$1,133,972",10.4%,"$9,834,665","$2,033,464",20.7%,16.2%,1
045609,Rossford Exempted Village,Wood," $23,647,666 "," $9,400,327 ",39.75%," $23,397,964 "," $7,447,008 ",31.83%," $22,761,307 "," $7,286,977 ",32.01%,"$21,908,893","$7,732,450",35.3%,"$20,844,231","$10,377,378",49.8%,37.7%,3
045617,Tipp City Exempted Village,Miami," $21,594,159 "," $667,537 ",3.09%," $20,122,441 "," $1,212,197 ",6.02%," $20,631,749 "," $2,470,563 ",11.97%,"$21,108,570","$5,033,472",23.8%,"$21,416,251","$8,438,448",39.4%,16.9%,5
045625,Upper Sandusky Exempted Village,Wyandot," $15,202,704 "," $3,543,780 ",23.31%," $15,863,800 "," $2,744,198 ",17.30%," $15,951,770 "," $2,692,896 ",16.88%,"$16,234,515","$2,910,811",17.9%,"$16,843,369","$3,614,157",21.5%,19.4%,3
045633,Versailles Exempted Village,Darke," $10,748,635 "," $3,252,449 ",30.26%," $10,198,373 "," $3,582,529 ",35.13%," $10,610,729 "," $4,547,232 ",42.86%,"$11,139,591","$6,145,048",55.2%,"$11,139,591","$6,145,048",55.2%,43.7%,2
045641,Wauseon Exempted Village,Fulton," $16,174,170 "," $2,620,270 ",16.20%," $15,711,000 "," $1,964,053 ",12.50%," $15,471,067 "," $2,216,488 ",14.33%,"$15,926,844","$3,227,343",20.3%,"$16,170,149","$4,981,220",30.8%,18.8%,4
045658,Wellington Exempted Village,Lorain," $12,844,274 "," $4,102,313 ",31.94%," $13,317,066 "," $3,537,899 ",26.57%," $13,646,638 "," $2,747,812 ",20.14%,"$13,544,989","$2,435,350",18.0%,"$11,900,077","$3,785,950",31.8%,25.7%,3
045666,Windham Exempted Village,Portage," $7,652,186 "," $2,270,749 ",29.67%," $7,189,989 "," $2,869,784 ",39.91%," $7,578,033 "," $3,172,355 ",41.86%,"$7,510,891","$3,554,239",47.3%,"$7,974,336","$3,821,586",47.9%,41.3%,1
045674,Yellow Springs Exempted Village,Greene," $7,636,263 "," $1,685,553 ",22.07%," $7,233,356 "," $1,994,156 ",27.57%," $7,396,161 "," $2,753,084 ",37.22%,"$7,726,836","$3,460,432",44.8%,"$8,014,641","$4,108,375",51.3%,36.6%,6
045757,Allen East Local,Allen," $8,221,356 "," $3,849,852 ",46.83%," $8,312,556 "," $3,852,043 ",46.34%," $8,378,200 "," $4,276,692 ",51.05%,"$8,516,101","$5,025,641",59.0%,"$9,859,353","$6,301,859",63.9%,53.4%,2
045765,Bath Local,Allen," $16,517,878 "," $11,058,486 ",66.95%," $15,243,951 "," $10,144,323 ",66.55%," $14,952,618 "," $10,222,439 ",68.37%,"$15,135,245","$10,672,915",70.5%,"$15,204,272","$11,322,193",74.5%,69.4%,4
045773,Elida Local,Allen," $20,592,064 "," $2,153,237 ",10.46%," $20,054,566 "," $1,957,737 ",9.76%," $20,230,010 "," $2,131,206 ",10.53%,"$20,457,476","$3,217,360",15.7%,"$21,231,132","$4,325,121",20.4%,13.4%,4
045781,Perry Local,Allen," $7,336,600 "," $2,707,838 ",36.91%," $7,314,604 "," $2,548,554 ",34.84%," $7,387,820 "," $2,780,543 ",37.64%,"$7,680,858","$2,908,572",37.9%,"$8,219,547","$3,358,687",40.9%,37.6%,4
045799,Shawnee Local,Allen," $21,145,993 "," $17,603,674 ",83.25%," $21,845,258 "," $16,352,663 ",74.86%," $21,510,265 "," $15,951,550 ",74.16%,"$24,531,256","$14,555,771",59.3%,"$22,680,321","$13,925,542",61.4%,70.6%,5
045807,Spencerville Local,Allen," $8,026,152 "," $2,846,082 ",35.46%," $8,120,501 "," $3,767,718 ",46.40%," $8,199,729 "," $4,463,298 ",54.43%,"$9,205,704","$4,549,325",49.4%,"$8,689,887","$6,202,537",71.4%,51.4%,2
045823,Hillsdale Local,Ashland," $9,958,637 "," $599,152 ",6.02%," $10,439,953 "," $325,623 ",3.12%," $8,928,571 "," $990,323 ",11.09%,"$9,273,239","$1,873,287",20.2%,"$10,189,243","$2,814,559",27.6%,13.6%,2
045831,Mapleton Local,Ashland," $7,914,669 "," $1,760,499 ",22.24%," $7,749,408 "," $1,710,887 ",22.08%," $8,233,592 "," $1,429,864 ",17.37%,"$8,484,153","$1,314,777",15.5%,"$8,330,998","$1,994,599",23.9%,20.2%,2
045856,Buckeye Local,Ashtabula," $16,940,458 "," $5,363,520 ",31.66%," $17,363,513 "," $4,643,287 ",26.74%," $17,316,387 "," $4,688,729 ",27.08%,"$17,064,539","$5,026,300",29.5%,"$16,964,082","$6,257,015",36.9%,30.4%,4
045864,Grand Valley Local,Ashtabula," $10,937,821 "," $1,260,785 ",11.53%," $10,280,342 "," $1,592,353 ",15.49%," $10,742,254 "," $1,948,805 ",18.14%,"$11,146,298","$1,738,448",15.6%,"$11,511,914","$1,837,127",16.0%,15.3%,1
045872,Jefferson Area Local,Ashtabula," $16,333,826 "," $2,685,383 ",16.44%," $14,763,278 "," $2,729,839 ",18.49%," $14,619,987 "," $3,053,178 ",20.88%,"$14,943,013","$3,392,694",22.7%,"$14,661,853","$3,856,223",26.3%,21.0%,3
045880,Pymatuning Valley Local,Ashtabula," $11,944,610 "," $1,381,460 ",11.57%," $11,904,361 "," $1,122,140 ",9.43%," $11,732,542 "," $1,591,879 ",13.57%,"$11,907,027","$2,709,127",22.8%,"$12,556,154","$4,117,912",32.8%,18.0%,1
045906,Alexander Local,Athens," $15,816,242 "," $4,273,360 ",27.02%," $15,528,337 "," $4,433,547 ",28.55%," $15,615,499 "," $4,619,442 ",29.58%,"$16,288,985","$4,236,465",26.0%,"$17,371,338","$3,270,497",18.8%,26.0%,2
045914,Federal Hocking Local,Athens," $11,036,934 "," $3,003,377 ",27.21%," $10,583,040 "," $3,779,877 ",35.72%," $11,217,960 "," $4,411,449 ",39.32%,"$11,598,950","$4,656,713",40.1%,"$12,601,473","$6,202,627",49.2%,38.3%,1
045922,Trimble Local,Athens," $7,927,552 "," $2,028,044 ",25.58%," $7,967,852 "," $2,635,169 ",33.07%," $8,321,676 "," $3,228,671 ",38.80%,"$8,842,971","$4,082,761",46.2%,"$9,472,152","$5,892,148",62.2%,41.2%,1
045948,Minster Local,Auglaize," $8,014,752 "," $471,004 ",5.88%," $7,416,616 "," $847,575 ",11.43%," $8,251,493 "," $1,890,300 ",22.91%,"$9,075,301","$2,155,801",23.8%,"$8,445,837","$3,741,345",44.3%,21.7%,3
045955,New Bremen Local,Auglaize," $8,218,596 "," $6,185,295 ",75.26%," $8,449,154 "," $5,855,673 ",69.30%," $8,336,751 "," $5,560,464 ",66.70%,"$8,450,782","$5,228,786",61.9%,"$8,323,053","$5,339,844",64.2%,67.5%,3
045963,New Knoxville Local,Auglaize," $3,991,946 "," $3,114,353 ",78.02%," $4,407,614 "," $2,781,998 ",63.12%," $4,310,218 "," $2,661,611 ",61.75%,"$4,324,072","$2,665,253",61.6%,"$4,470,046","$2,938,295",65.7%,66.1%,2
045971,Waynesfield-Goshen Local,Auglaize," $5,574,064 "," $2,213,897 ",39.72%," $5,373,698 "," $2,405,682 ",44.77%," $5,533,743 "," $2,569,203 ",46.43%,"$5,613,994","$2,858,833",50.9%,"$5,913,686","$3,543,188",59.9%,48.4%,2
045997,St Clairsville-Richland City,Belmont," $13,498,066 "," $1,039,323 ",7.70%," $14,681,038 "," $256,235 ",1.75%," $15,569,764 "," $1,066,624 ",6.85%,"$15,944,404","$1,406,726",8.8%,"$15,858,951","$2,026,460",12.8%,7.6%,3
046003,Shadyside Local,Belmont," $6,411,627 "," $1,681,942 ",26.23%," $6,165,114 "," $1,401,405 ",22.73%," $5,835,028 "," $2,218,408 ",38.02%,"$6,187,322","$2,791,486",45.1%,"$6,062,572","$4,020,134",66.3%,39.7%,3
046011,Union Local,Belmont," $12,923,922 "," $(298,835)",-2.31%," $11,953,901 "," $577,347 ",4.83%," $12,637,833 "," $1,365,709 ",10.81%,"$13,162,465","$1,712,376",13.0%,"$13,703,679","$2,092,249",15.3%,8.3%,1
046037,Eastern Local,Brown," $11,561,367 "," $1,808,421 ",15.64%," $11,594,054 "," $2,170,840 ",18.72%," $11,815,836 "," $2,773,544 ",23.47%,"$12,681,806","$2,611,121",20.6%,"$12,638,856","$2,866,519",22.7%,20.2%,2
046045,Fayetteville-Perry Local,Brown," $7,453,129 "," $1,434,121 ",19.24%," $7,638,526 "," $1,270,134 ",16.63%," $7,724,501 "," $1,323,356 ",17.13%,"$7,844,722","$1,259,747",16.1%,"$7,513,766","$1,740,400",23.2%,18.4%,2
046060,Western Brown Local,Brown," $27,593,528 "," $2,118,664 ",7.68%," $25,817,044 "," $2,349,015 ",9.10%," $26,794,473 "," $3,365,753 ",12.56%,"$26,797,410","$6,522,570",24.3%,"$28,146,820","$10,605,005",37.7%,18.3%,1
046078,Ripley-Union-Lewis-Huntington Local,Brown," $9,947,235 "," $1,428,895 ",14.36%," $9,590,773 "," $1,872,033 ",19.52%," $9,305,568 "," $2,794,282 ",30.03%,"$9,376,989","$3,709,736",39.6%,"$9,697,791","$4,692,492",48.4%,30.4%,1
046094,Edgewood City,Butler," $28,760,444 "," $3,755,836 ",13.06%," $33,016,400 "," $6,384,543 ",19.34%," $30,287,241 "," $7,451,066 ",24.60%,"$29,953,013","$11,782,938",39.3%,"$31,974,180","$13,168,473",41.2%,27.5%,3
046102,Fairfield City,Butler," $72,105,075 "," $13,293,053 ",18.44%," $71,875,066 "," $23,479,127 ",32.67%," $76,091,386 "," $30,424,884 ",39.98%,"$79,430,494","$37,754,687",47.5%,"$88,037,775","$37,225,476",42.3%,36.2%,5
046110,Lakota Local,Butler," $154,474,946 "," $23,540,527 ",15.24%," $144,807,099 "," $24,681,354 ",17.04%," $145,845,222 "," $34,828,994 ",23.88%,"$150,509,804","$51,274,402",34.1%,"$151,863,146","$68,877,687",45.4%,27.1%,6
046128,Madison Local,Butler," $13,077,473 "," $2,128,920 ",16.28%," $12,450,058 "," $1,953,177 ",15.69%," $12,980,497 "," $1,867,697 ",14.39%,"$13,061,968","$2,056,599",15.7%,"$13,407,238","$3,127,910",23.3%,17.1%,1
046136,New Miami Local,Butler," $5,989,025 "," $3,621,566 ",60.47%," $6,060,464 "," $3,581,974 ",59.10%," $6,337,006 "," $3,768,355 ",59.47%,"$7,238,528","$3,578,731",49.4%,"$7,775,633","$3,932,381",50.6%,55.8%,1
046144,Ross Local,Butler," $21,553,394 "," $5,884,045 ",27.30%," $21,932,464 "," $6,905,068 ",31.48%," $22,277,542 "," $7,800,238 ",35.01%,"$22,475,919","$8,572,840",38.1%,"$22,173,800","$9,603,237",43.3%,35.0%,3
046151,Talawanda City,Butler," $29,507,139 "," $20,012,656 ",67.82%," $30,385,656 "," $21,222,516 ",69.84%," $31,335,100 "," $22,591,673 ",72.10%,"$32,148,188","$23,362,499",72.7%,"$32,217,284","$24,378,713",75.7%,71.6%,5
046177,Brown Local,Carroll," $6,733,994 "," $2,686,975 ",39.90%," $6,688,057 "," $2,841,742 ",42.49%," $7,435,547 "," $3,628,600 ",48.80%,"$7,341,337","$3,423,004",46.6%,"$6,446,726","$4,331,304",67.2%,49.0%,1
046193,Graham Local,Champaign," $16,013,134 "," $1,140,333 ",7.12%," $15,106,373 "," $2,263,182 ",14.98%," $14,366,021 "," $5,114,905 ",35.60%,"$16,587,298","$5,465,378",32.9%,"$17,292,767","$5,883,597",34.0%,24.9%,1
046201,Triad Local,Champaign," $9,955,174 "," $597,844 ",6.01%," $9,802,146 "," $477,251 ",4.87%," $10,037,451 "," $616,443 ",6.14%,"$9,878,179","$1,042,306",10.6%,"$9,162,970","$2,427,755",26.5%,10.8%,2
046219,West Liberty-Salem Local,Champaign," $12,028,187 "," $859,333 ",7.14%," $11,797,466 "," $1,151,551 ",9.76%," $11,586,547 "," $2,899,540 ",25.03%,"$12,373,263","$3,574,603",28.9%,"$12,352,132","$4,984,277",40.4%,22.2%,3
046235,Greenon Local,Clark," $15,174,202 "," $1,968,914 ",12.98%," $15,237,074 "," $1,351,934 ",8.87%," $15,229,965 "," $1,098,432 ",7.21%,"$14,051,383","$2,681,649",19.1%,"$14,567,434","$4,502,755",30.9%,15.8%,3
046243,Tecumseh Local,Clark," $27,607,934 "," $2,067,607 ",7.49%," $27,565,477 "," $1,457,461 ",5.29%," $27,836,730 "," $2,123,417 ",7.63%,"$28,025,626","$3,595,358",12.8%,"$27,248,387","$6,335,274",23.3%,11.3%,4
046250,Northeastern Local,Clark," $29,874,667 "," $4,747,115 ",15.89%," $28,257,323 "," $3,742,188 ",13.24%," $28,009,285 "," $4,963,902 ",17.72%,"$28,196,915","$6,583,175",23.3%,"$29,001,342","$6,833,056",23.6%,18.8%,3
046268,Northwestern Local,Clark," $15,017,124 "," $2,829,379 ",18.84%," $14,958,841 "," $3,623,958 ",24.23%," $15,869,564 "," $4,544,051 ",28.63%,"$16,436,301","$5,328,915",32.4%,"$16,739,474","$6,172,509",36.9%,28.2%,3
046276,Southeastern Local,Clark," $7,325,522 "," $5,639,524 ",76.98%," $7,615,295 "," $5,366,323 ",70.47%," $7,689,034 "," $5,516,282 ",71.74%,"$7,629,814","$5,988,696",78.5%,"$8,215,550","$6,590,286",80.2%,75.6%,3
046284,Clark-Shawnee Local,Clark," $18,037,492 "," $1,177,260 ",6.53%," $17,595,497 "," $1,163,932 ",6.61%," $17,499,849 "," $2,136,096 ",12.21%,"$18,739,526","$3,959,782",21.1%,"$19,700,817","$5,943,280",30.2%,15.3%,3
046300,Batavia Local,Clermont," $18,105,320 "," $876,393 ",4.84%," $18,550,199 "," $(249,477)",-1.34%," $18,448,061 "," $139,494 ",0.76%,"$19,588,770","$719,125",3.7%,"$20,594,878","$130,709",0.6%,1.7%,3
046318,Bethel-Tate Local,Clermont," $14,038,119 "," $1,889,481 ",13.46%," $14,456,951 "," $2,145,472 ",14.84%," $14,753,797 "," $1,878,415 ",12.73%,"$15,272,429","$1,564,808",10.2%,"$14,579,494","$1,823,731",12.5%,12.8%,1
046326,Clermont Northeastern Local,Clermont," $15,264,291 "," $230,120 ",1.51%," $15,225,058 "," $103,546 ",0.68%," $15,552,072 "," $897,572 ",5.77%,"$15,807,968","$1,533,221",9.7%,"$15,550,783","$2,892,044",18.6%,7.3%,3
046334,Felicity-Franklin Local,Clermont," $8,927,811 "," $1,913,592 ",21.43%," $9,066,121 "," $1,957,124 ",21.59%," $9,547,215 "," $2,251,827 ",23.59%,"$9,670,219","$2,747,822",28.4%,"$9,907,491","$3,126,858",31.6%,25.3%,1
046342,Goshen Local,Clermont," $23,117,317 "," $2,824,447 ",12.22%," $23,183,709 "," $2,782,402 ",12.00%," $23,847,297 "," $3,811,296 ",15.98%,"$24,690,319","$5,721,347",23.2%,"$26,920,143","$6,134,344",22.8%,17.2%,4
046359,West Clermont Local,Clermont," $65,412,464 "," $1,830,240 ",2.80%," $64,471,638 "," $4,607,114 ",7.15%," $62,368,675 "," $7,613,526 ",12.21%,"$65,717,848","$12,107,381",18.4%,"$64,703,641","$20,636,264",31.9%,14.5%,5
046367,Williamsburg Local,Clermont," $8,517,171 "," $1,243,775 ",14.60%," $8,626,356 "," $1,379,172 ",15.99%," $9,045,695 "," $1,445,136 ",15.98%,"$9,574,613","$1,458,315",15.2%,"$9,834,538","$1,981,631",20.1%,16.4%,1
046383,Blanchester Local,Clinton," $13,088,777 "," $3,349,865 ",25.59%," $12,982,396 "," $4,462,478 ",34.37%," $14,035,732 "," $4,995,016 ",35.59%,"$15,727,382","$4,911,973",31.2%,"$15,637,974","$4,877,747",31.2%,31.6%,1
046391,Clinton-Massie Local,Clinton," $15,634,325 "," $3,308,092 ",21.16%," $16,387,698 "," $3,247,536 ",19.82%," $16,041,691 "," $2,817,543 ",17.56%,"$16,417,829","$2,516,955",15.3%,"$15,258,604","$3,073,058",20.1%,18.8%,2
046409,East Clinton Local,Clinton," $11,488,604 "," $2,805,084 ",24.42%," $11,275,156 "," $3,609,145 ",32.01%," $11,728,700 "," $4,608,025 ",39.29%,"$11,826,730","$5,902,546",49.9%,"$12,163,890","$7,853,217",64.6%,42.0%,2
046425,Beaver Local,Columbiana," $17,763,058 "," $905,107 ",5.10%," $17,798,654 "," $610,260 ",3.43%," $18,444,951 "," $20,956 ",0.11%,"$17,913,999","$240,487",1.3%,"$18,811,948","$451,099",2.4%,2.5%,1
046433,Crestview Local,Columbiana," $10,550,189 "," $1,360,791 ",12.90%," $10,299,377 "," $1,539,899 ",14.95%," $10,717,401 "," $1,618,648 ",15.10%,"$11,260,977","$1,505,487",13.4%,"$11,646,994","$2,161,739",18.6%,15.0%,2
046441,Southern Local,Columbiana," $9,816,065 "," $397,998 ",4.05%," $9,146,783 "," $165,396 ",1.81%," $9,351,109 "," $141,819 ",1.52%,"$9,567,474","$188,391",2.0%,-,-,-,2.3%,1
046458,United Local,Columbiana," $11,585,858 "," $4,479,765 ",38.67%," $11,613,481 "," $4,487,733 ",38.64%," $11,596,799 "," $4,817,101 ",41.54%,"$12,314,131","$4,707,806",38.2%,"$12,078,428","$5,092,764",42.2%,39.8%,2
046474,Ridgewood Local,Coshocton," $10,697,006 "," $3,381,609 ",31.61%," $10,084,540 "," $3,969,506 ",39.36%," $10,164,671 "," $4,866,397 ",47.88%,"$10,599,464","$5,730,272",54.1%,"$11,890,239","$6,157,444",51.8%,44.9%,1
046482,River View Local,Coshocton," $20,107,723 "," $5,737,464 ",28.53%," $19,823,156 "," $5,535,812 ",27.93%," $20,027,018 "," $6,108,893 ",30.50%,"$20,017,291","$6,983,616",34.9%,"$20,603,534","$7,516,446",36.5%,31.7%,1
046508,Buckeye Central Local,Crawford," $8,357,121 "," $2,691,513 ",32.21%," $7,770,562 "," $2,865,596 ",36.88%," $7,898,032 "," $3,445,409 ",43.62%,"$8,247,527","$3,894,261",47.2%,"$9,120,052","$4,538,811",49.8%,41.9%,2
046516,Colonel Crawford Local,Crawford," $8,588,679 "," $1,538,006 ",17.91%," $9,424,156 "," $1,032,406 ",10.95%," $9,361,705 "," $1,162,350 ",12.42%,"$9,052,871","$1,710,565",18.9%,"$9,419,927","$2,609,669",27.7%,17.6%,1
046524,Wynford Local,Crawford," $12,832,719 "," $692,283 ",5.39%," $11,743,739 "," $253,027 ",2.15%," $10,678,203 "," $409,672 ",3.84%,"$10,968,589","$619,946",5.7%,"$11,170,646","$1,440,853",12.9%,6.0%,1
046557,Cuyahoga Heights Local,Cuyahoga," $14,615,172 "," $1,161,739 ",7.95%," $12,872,328 "," $1,609,222 ",12.50%," $12,880,639 "," $3,792,447 ",29.44%,"$13,026,868","$6,022,894",46.2%,"$13,340,212","$7,624,839",57.2%,30.7%,5
046565,Independence Local,Cuyahoga," $16,255,128 "," $2,472,883 ",15.21%," $15,332,745 "," $4,268,398 ",27.84%," $15,254,316 "," $6,470,280 ",42.42%,"$15,583,302","$8,197,485",52.6%,"$15,720,518","$8,781,718",55.9%,38.8%,5
046573,Olmsted Falls City,Cuyahoga," $38,659,058 "," $6,162,359 ",15.94%," $37,220,731 "," $8,517,572 ",22.88%," $37,899,758 "," $9,455,580 ",24.95%,"$39,004,204","$10,406,149",26.7%,"$40,429,901","$10,846,558",26.8%,23.5%,5
046581,Orange City,Cuyahoga," $44,461,813 "," $29,314,346 ",65.93%," $49,595,169 "," $28,210,506 ",56.88%," $49,939,643 "," $26,828,787 ",53.72%,"$51,036,885","$23,870,884",46.8%,"$45,303,320","$27,760,922",61.3%,56.9%,6
046599,Richmond Heights Local,Cuyahoga," $12,619,257 "," $281,904 ",2.23%," $13,085,540 "," $251,234 ",1.92%," $15,117,143 "," $75,074 ",0.50%,"$14,728,484","$427,913",2.9%,"$12,716,667","$1,127,167",8.9%,3.3%,5
046607,Solon City,Cuyahoga," $63,016,494 "," $18,124,837 ",28.76%," $61,104,911 "," $25,303,783 ",41.41%," $65,456,357 "," $29,987,277 ",45.81%,"$63,171,609","$37,300,222",59.0%,"$65,467,165","$43,220,855",66.0%,48.2%,6
046623,Ansonia Local,Darke," $6,411,013 "," $1,341,916 ",20.93%," $6,550,838 "," $1,751,647 ",26.74%," $6,578,491 "," $2,357,017 ",35.83%,"$6,853,990","$3,122,808",45.6%,"$7,497,848","$4,408,878",58.8%,37.6%,1
046631,Arcanum-Butler Local,Darke," $9,295,977 "," $2,652,355 ",28.53%," $9,669,554 "," $2,528,082 ",26.14%," $9,615,690 "," $3,358,155 ",34.92%,"$10,639,470","$3,455,157",32.5%,"$10,420,237","$4,468,621",42.9%,33.0%,2
046649,Franklin Monroe Local,Darke," $6,629,742 "," $2,459,569 ",37.10%," $6,411,348 "," $2,335,793 ",36.43%," $6,038,489 "," $2,657,711 ",44.01%,"$6,175,019","$3,092,313",50.1%,"$5,941,098","$4,388,610",73.9%,48.3%,2
046672,Mississinawa Valley Local,Darke," $7,081,762 "," $2,440,184 ",34.46%," $7,127,661 "," $2,117,264 ",29.70%," $7,375,897 "," $2,203,646 ",29.88%,"$7,461,036","$2,749,707",36.9%,"$7,720,208","$3,677,510",47.6%,35.7%,1
046680,Tri-Village Local,Darke," $6,396,624 "," $1,886,924 ",29.50%," $6,412,376 "," $2,092,283 ",32.63%," $6,404,857 "," $2,723,470 ",42.52%,"$6,810,640","$3,648,784",53.6%,"$7,736,772","$4,740,833",61.3%,43.9%,2
046706,Ayersville Local,Defiance," $7,366,242 "," $3,867,506 ",52.50%," $7,585,719 "," $3,812,459 ",50.26%," $7,656,566 "," $4,156,652 ",54.29%,"$7,683,457","$4,659,506",60.6%,"$8,000,354","$5,421,784",67.8%,57.1%,3
046714,Central Local,Defiance," $10,548,633 "," $2,457,715 ",23.30%," $10,555,111 "," $2,408,687 ",22.82%," $10,685,765 "," $2,267,239 ",21.22%,"$10,902,606","$2,795,973",25.6%,"$11,610,752","$3,611,803",31.1%,24.8%,2
046722,Northeastern Local,Defiance," $9,618,120 "," $3,627,777 ",37.72%," $9,834,305 "," $3,337,850 ",33.94%," $10,053,782 "," $4,036,205 ",40.15%,"$10,777,012","$5,320,108",49.4%,"$10,764,179","$7,208,632",67.0%,45.6%,3
046748,Big Walnut Local,Delaware," $26,966,126 "," $6,589,831 ",24.44%," $28,179,294 "," $7,507,118 ",26.64%," $29,166,276 "," $8,636,694 ",29.61%,"$31,307,975","$9,155,119",29.2%,"$34,540,703","$9,182,459",26.6%,27.3%,5
046755,Buckeye Valley Local,Delaware," $20,961,952 "," $3,798,967 ",18.12%," $20,557,959 "," $4,179,545 ",20.33%," $20,552,488 "," $5,808,878 ",28.26%,"$21,889,987","$6,890,887",31.5%,"$22,481,393","$8,511,345",37.9%,27.2%,3
046763,Olentangy Local,Delaware," $149,161,088 "," $28,688,508 ",19.23%," $153,098,786 "," $41,745,030 ",27.27%," $161,088,707 "," $51,214,961 ",31.79%,"$170,735,770","$59,087,921",34.6%,"$183,312,797","$62,266,218",34.0%,29.4%,6
046789,Edison Local (formerly Berlin-Milan),Erie," $14,716,020 "," $3,084,178 ",20.96%," $14,344,277 "," $2,225,809 ",15.52%," $14,090,327 "," $3,011,906 ",21.38%,"$14,520,638","$4,028,222",27.7%,"$14,799,711","$5,029,187",34.0%,23.9%,3
046805,Margaretta Local,Erie," $12,785,506 "," $1,083,874 ",8.48%," $12,595,233 "," $1,672,798 ",13.28%," $13,155,782 "," $2,343,339 ",17.81%,"$13,963,960","$2,473,508",17.7%,"$15,268,206","$2,628,373",17.2%,14.9%,1
046813,Perkins Local,Erie," $23,811,460 "," $4,060,225 ",17.05%," $26,314,024 "," $506,281 ",1.92%," $21,513,965 "," $412,009 ",1.92%,"$22,229,967","$1,075,250",4.8%,"$23,157,498","$908,129",3.9%,5.9%,5
046821,Vermilion Local,Erie," $22,458,884 "," $15,444,022 ",68.77%," $22,388,873 "," $15,554,129 ",69.47%," $22,557,988 "," $15,583,581 ",69.08%,"$25,416,135","$13,387,300",52.7%,"$23,236,601","$13,988,557",60.2%,64.0%,3
046847,Amanda-Clearcreek Local,Fairfield," $12,493,353 "," $3,437,167 ",27.51%," $12,725,126 "," $5,519,819 ",43.38%," $13,372,653 "," $8,944,975 ",66.89%,"$15,042,297","$11,361,700",75.5%,"$15,487,500","$13,410,143",86.6%,60.0%,2
046854,Berne Union Local,Fairfield," $8,693,228 "," $1,322,555 ",15.21%," $8,107,665 "," $1,352,129 ",16.68%," $8,288,738 "," $1,437,331 ",17.34%,"$8,120,627","$1,771,518",21.8%,"$9,375,517","$2,841,083",30.3%,20.3%,1
046862,Bloom-Carroll Local,Fairfield," $15,301,322 "," $1,498,100 ",9.79%," $15,468,725 "," $1,606,645 ",10.39%," $16,049,377 "," $2,131,014 ",13.28%,"$16,696,953","$2,616,044",15.7%,"$17,427,021","$3,261,179",18.7%,13.6%,3
046870,Fairfield Union Local,Fairfield," $18,879,132 "," $5,767,476 ",30.55%," $19,581,568 "," $6,310,222 ",32.23%," $19,762,656 "," $7,698,349 ",38.95%,"$20,216,978","$8,434,399",41.7%,"$19,980,066","$9,683,586",48.5%,38.4%,2
046888,Liberty Union-Thurston Local,Fairfield," $12,268,295 "," $5,251,777 ",42.81%," $12,168,189 "," $5,546,826 ",45.58%," $12,309,761 "," $6,674,475 ",54.22%,"$12,897,441","$7,712,497",59.8%,"$13,645,425","$8,463,531",62.0%,52.9%,3
046896,Pickerington Local,Fairfield," $88,584,827 "," $12,715,103 ",14.35%," $92,360,803 "," $17,547,587 ",19.00%," $96,607,567 "," $21,962,237 ",22.73%,"$105,223,107","$23,411,920",22.2%,"$103,877,907","$29,669,814",28.6%,21.4%,6
046904,Walnut Township Local,Fairfield," $6,826,352 "," $2,097,112 ",30.72%," $7,218,348 "," $1,363,000 ",18.88%," $7,325,952 "," $750,251 ",10.24%,"$7,230,778","$447,441",6.2%,"$6,433,236","$1,465,122",22.8%,17.8%,2
